depth,title,source_url,local_path
0,"Tenant",https://support.tenantcloud.com/en/collections/14418223-tenant,local-help/en/collections/14418223-tenant.html
1,"ACH and Card Payments",https://support.tenantcloud.com/en/collections/14420506-ach-and-card-payments,local-help/en/collections/14420506-ach-and-card-payments.html
1,"Additional services",https://support.tenantcloud.com/en/collections/16513204-additional-services,local-help/en/collections/16513204-additional-services.html
1,"Communication",https://support.tenantcloud.com/en/collections/14423459-communication,local-help/en/collections/14423459-communication.html
1,"En",https://support.tenantcloud.com/en,local-help/en.html
1,"General",https://support.tenantcloud.com/en/collections/14420271-general,local-help/en/collections/14420271-general.html
1,"Get Started",https://support.tenantcloud.com/en/collections/14418499-get-started,local-help/en/collections/14418499-get-started.html
1,"Having trouble finding your authentication code?",https://support.tenantcloud.com/en/articles/11931551-having-trouble-finding-your-authentication-code,local-help/en/articles/11931551-having-trouble-finding-your-authentication-code.html
1,"How do I change my email address?",https://support.tenantcloud.com/en/articles/11931494-how-do-i-change-my-email-address,local-help/en/articles/11931494-how-do-i-change-my-email-address.html
1,"How do I connect with my landlord?",https://support.tenantcloud.com/en/articles/11932816-how-do-i-connect-with-my-landlord,local-help/en/articles/11932816-how-do-i-connect-with-my-landlord.html
1,"How do I delete my account?",https://support.tenantcloud.com/en/articles/11931521-how-do-i-delete-my-account,local-help/en/articles/11931521-how-do-i-delete-my-account.html
1,"How do I disable two-factor authentication?",https://support.tenantcloud.com/en/articles/11931641-how-do-i-disable-two-factor-authentication,local-help/en/articles/11931641-how-do-i-disable-two-factor-authentication.html
1,"How do I edit my rental application?",https://support.tenantcloud.com/en/articles/11933584-how-do-i-edit-my-rental-application,local-help/en/articles/11933584-how-do-i-edit-my-rental-application.html
1,"How do I edit profile settings?",https://support.tenantcloud.com/en/articles/11931211-how-do-i-edit-profile-settings,local-help/en/articles/11931211-how-do-i-edit-profile-settings.html
1,"How do I find a new place?",https://support.tenantcloud.com/en/articles/11933660-how-do-i-find-a-new-place,local-help/en/articles/11933660-how-do-i-find-a-new-place.html
1,"How do I log out of all devices at once?",https://support.tenantcloud.com/en/articles/11931338-how-do-i-log-out-of-all-devices-at-once,local-help/en/articles/11931338-how-do-i-log-out-of-all-devices-at-once.html
1,"How do I manage notifications?",https://support.tenantcloud.com/en/articles/11930947-how-do-i-manage-notifications,local-help/en/articles/11930947-how-do-i-manage-notifications.html
1,"How do I manage uploaded files?",https://support.tenantcloud.com/en/articles/11931656-how-do-i-manage-uploaded-files,local-help/en/articles/11931656-how-do-i-manage-uploaded-files.html
1,"How do I remove a saved card?",https://support.tenantcloud.com/en/articles/11931302-how-do-i-remove-a-saved-card,local-help/en/articles/11931302-how-do-i-remove-a-saved-card.html
1,"How do I run a screening report?",https://support.tenantcloud.com/en/articles/11933545-how-do-i-run-a-screening-report,local-help/en/articles/11933545-how-do-i-run-a-screening-report.html
1,"How do I send a message?",https://support.tenantcloud.com/en/articles/11933440-how-do-i-send-a-message,local-help/en/articles/11933440-how-do-i-send-a-message.html
1,"How do I set my time zone?",https://support.tenantcloud.com/en/articles/11931247-how-do-i-set-my-time-zone,local-help/en/articles/11931247-how-do-i-set-my-time-zone.html
1,"How do I sign a notice?",https://support.tenantcloud.com/en/articles/11933381-how-do-i-sign-a-notice,local-help/en/articles/11933381-how-do-i-sign-a-notice.html
1,"How do I submit a rental application and pay an application fee?",https://support.tenantcloud.com/en/articles/11933506-how-do-i-submit-a-rental-application-and-pay-an-application-fee,local-help/en/articles/11933506-how-do-i-submit-a-rental-application-and-pay-an-application-fee.html
1,"How do I track my login sessions?",https://support.tenantcloud.com/en/articles/11931424-how-do-i-track-my-login-sessions,local-help/en/articles/11931424-how-do-i-track-my-login-sessions.html
1,"How do I upload an account profile photo?",https://support.tenantcloud.com/en/articles/11931460-how-do-i-upload-an-account-profile-photo,local-help/en/articles/11931460-how-do-i-upload-an-account-profile-photo.html
1,"How do I use two-factor authentication?",https://support.tenantcloud.com/en/articles/11931600-how-do-i-use-two-factor-authentication,local-help/en/articles/11931600-how-do-i-use-two-factor-authentication.html
1,"How do I verify my email address?",https://support.tenantcloud.com/en/articles/12873304-how-do-i-verify-my-email-address,local-help/en/articles/12873304-how-do-i-verify-my-email-address.html
1,"How do I view and accept connection requests?",https://support.tenantcloud.com/en/articles/11933349-how-do-i-view-and-accept-connection-requests,local-help/en/articles/11933349-how-do-i-view-and-accept-connection-requests.html
1,"How do I view my saved cards?",https://support.tenantcloud.com/en/articles/11931271-how-do-i-view-my-saved-cards,local-help/en/articles/11931271-how-do-i-view-my-saved-cards.html
1,"Income & employment verification",https://support.tenantcloud.com/en/articles/12744141-income-employment-verification,local-help/en/articles/12744141-income-employment-verification.html
1,"Let's Get Started!",https://support.tenantcloud.com/en/articles/11930700-let-s-get-started,local-help/en/articles/11930700-let-s-get-started.html
1,"Maintenance",https://support.tenantcloud.com/en/collections/14421090-maintenance,local-help/en/collections/14421090-maintenance.html
1,"My Rental",https://support.tenantcloud.com/en/collections/14421085-my-rental,local-help/en/collections/14421085-my-rental.html
1,"Pay Rent",https://support.tenantcloud.com/en/collections/14420166-pay-rent,local-help/en/collections/14420166-pay-rent.html
1,"Rent Reporting",https://support.tenantcloud.com/en/collections/14421093-rent-reporting,local-help/en/collections/14421093-rent-reporting.html
1,"Rental Applications",https://support.tenantcloud.com/en/collections/14424726-rental-applications,local-help/en/collections/14424726-rental-applications.html
1,"Rental Information",https://support.tenantcloud.com/en/collections/14421086-rental-information,local-help/en/collections/14421086-rental-information.html
1,"Renters Insurance",https://support.tenantcloud.com/en/collections/14421088-renters-insurance,local-help/en/collections/14421088-renters-insurance.html
1,"Settings",https://support.tenantcloud.com/en/collections/14418687-settings,local-help/en/collections/14418687-settings.html
1,"What do I do if I forgot my password?",https://support.tenantcloud.com/en/articles/11931573-what-do-i-do-if-i-forgot-my-password,local-help/en/articles/11931573-what-do-i-do-if-i-forgot-my-password.html
1,"What does my landlord see?",https://support.tenantcloud.com/en/articles/11930873-what-does-my-landlord-see,local-help/en/articles/11930873-what-does-my-landlord-see.html
1,"What does my ServicePro see?",https://support.tenantcloud.com/en/articles/11930917-what-does-my-servicepro-see,local-help/en/articles/11930917-what-does-my-servicepro-see.html
1,"What if I exceeded the maximum attempts of identity verification?",https://support.tenantcloud.com/en/articles/11933636-what-if-i-exceeded-the-maximum-attempts-of-identity-verification,local-help/en/articles/11933636-what-if-i-exceeded-the-maximum-attempts-of-identity-verification.html
1,"What is Stripe's identity verification technology?",https://support.tenantcloud.com/en/articles/13166115-what-is-stripe-s-identity-verification-technology,local-help/en/articles/13166115-what-is-stripe-s-identity-verification-technology.html
1,"What screening reports does the software offer?",https://support.tenantcloud.com/en/articles/11933644-what-screening-reports-does-the-software-offer,local-help/en/articles/11933644-what-screening-reports-does-the-software-offer.html
2,"How can I enable/disable rent reporting?",https://support.tenantcloud.com/en/articles/11932727-how-can-i-enable-disable-rent-reporting,local-help/en/articles/11932727-how-can-i-enable-disable-rent-reporting.html
2,"How can I pay rent with a bank account?",https://support.tenantcloud.com/en/articles/11931758-how-can-i-pay-rent-with-a-bank-account,local-help/en/articles/11931758-how-can-i-pay-rent-with-a-bank-account.html
2,"How can I pay rent with a credit or debit card?",https://support.tenantcloud.com/en/articles/11931789-how-can-i-pay-rent-with-a-credit-or-debit-card,local-help/en/articles/11931789-how-can-i-pay-rent-with-a-credit-or-debit-card.html
2,"How can I set up utilities?",https://support.tenantcloud.com/en/articles/12781519-how-can-i-set-up-utilities,local-help/en/articles/12781519-how-can-i-set-up-utilities.html
2,"How do I add a bank account?",https://support.tenantcloud.com/en/articles/11931847-how-do-i-add-a-bank-account,local-help/en/articles/11931847-how-do-i-add-a-bank-account.html
2,"How do I add a roommate as an additional name to the policy?",https://support.tenantcloud.com/en/articles/11932517-how-do-i-add-a-roommate-as-an-additional-name-to-the-policy,local-help/en/articles/11932517-how-do-i-add-a-roommate-as-an-additional-name-to-the-policy.html
2,"How do I change my policy?",https://support.tenantcloud.com/en/articles/11932572-how-do-i-change-my-policy,local-help/en/articles/11932572-how-do-i-change-my-policy.html
2,"How do I communicate with my landlord within a maintenance request?",https://support.tenantcloud.com/en/articles/11932679-how-do-i-communicate-with-my-landlord-within-a-maintenance-request,local-help/en/articles/11932679-how-do-i-communicate-with-my-landlord-within-a-maintenance-request.html
2,"How do I complete the Move-in inspection report requested by Landlord?",https://support.tenantcloud.com/en/articles/12781523-how-do-i-complete-the-move-in-inspection-report-requested-by-landlord,local-help/en/articles/12781523-how-do-i-complete-the-move-in-inspection-report-requested-by-landlord.html
2,"How do I delete my bank account?",https://support.tenantcloud.com/en/articles/12856899-how-do-i-delete-my-bank-account,local-help/en/articles/12856899-how-do-i-delete-my-bank-account.html
2,"How do I dispute a rent payment inaccuracy shown on the credit report?",https://support.tenantcloud.com/en/articles/11932770-how-do-i-dispute-a-rent-payment-inaccuracy-shown-on-the-credit-report,local-help/en/articles/11932770-how-do-i-dispute-a-rent-payment-inaccuracy-shown-on-the-credit-report.html
2,"How do I pay multiple invoices?",https://support.tenantcloud.com/en/articles/11931805-how-do-i-pay-multiple-invoices,local-help/en/articles/11931805-how-do-i-pay-multiple-invoices.html
2,"How do I pay rent in advance?",https://support.tenantcloud.com/en/articles/11931823-how-do-i-pay-rent-in-advance,local-help/en/articles/11931823-how-do-i-pay-rent-in-advance.html
2,"How do I provide my renters insurance purchased outside the system?",https://support.tenantcloud.com/en/articles/11932534-how-do-i-provide-my-renters-insurance-purchased-outside-the-system,local-help/en/articles/11932534-how-do-i-provide-my-renters-insurance-purchased-outside-the-system.html
2,"How do I purchase Internet?",https://support.tenantcloud.com/en/articles/12781511-how-do-i-purchase-internet,local-help/en/articles/12781511-how-do-i-purchase-internet.html
2,"How do I purchase renters insurance?",https://support.tenantcloud.com/en/articles/11932477-how-do-i-purchase-renters-insurance,local-help/en/articles/11932477-how-do-i-purchase-renters-insurance.html
2,"How do I sign the lease agreement?",https://support.tenantcloud.com/en/articles/12328565-how-do-i-sign-the-lease-agreement,local-help/en/articles/12328565-how-do-i-sign-the-lease-agreement.html
2,"How do I submit a maintenance request to my Landlord?",https://support.tenantcloud.com/en/articles/11932604-how-do-i-submit-a-maintenance-request-to-my-landlord,local-help/en/articles/11932604-how-do-i-submit-a-maintenance-request-to-my-landlord.html
2,"How do I track a maintenance request?",https://support.tenantcloud.com/en/articles/11932638-how-do-i-track-a-maintenance-request,local-help/en/articles/11932638-how-do-i-track-a-maintenance-request.html
2,"How do I turn on/off the autopay option?",https://support.tenantcloud.com/en/articles/11931756-how-do-i-turn-on-off-the-autopay-option,local-help/en/articles/11931756-how-do-i-turn-on-off-the-autopay-option.html
2,"How do I view a list of transactions?",https://support.tenantcloud.com/en/articles/12315547-how-do-i-view-a-list-of-transactions,local-help/en/articles/12315547-how-do-i-view-a-list-of-transactions.html
2,"How do I view lease information?",https://support.tenantcloud.com/en/articles/11932079-how-do-i-view-lease-information,local-help/en/articles/11932079-how-do-i-view-lease-information.html
2,"How do I view my rental?",https://support.tenantcloud.com/en/articles/11931968-how-do-i-view-my-rental,local-help/en/articles/11931968-how-do-i-view-my-rental.html
2,"How do I view the Move out Inspection report completed by the Landlord?",https://support.tenantcloud.com/en/articles/12781527-how-do-i-view-the-move-out-inspection-report-completed-by-the-landlord,local-help/en/articles/12781527-how-do-i-view-the-move-out-inspection-report-completed-by-the-landlord.html
2,"How long does it take for the rent to show up on my credit report?",https://support.tenantcloud.com/en/articles/11932750-how-long-does-it-take-for-the-rent-to-show-up-on-my-credit-report,local-help/en/articles/11932750-how-long-does-it-take-for-the-rent-to-show-up-on-my-credit-report.html
2,"How much do I owe my landlord?",https://support.tenantcloud.com/en/articles/11931729-how-much-do-i-owe-my-landlord,local-help/en/articles/11931729-how-much-do-i-owe-my-landlord.html
2,"Renter insurance billing and payment options",https://support.tenantcloud.com/en/articles/11932592-renter-insurance-billing-and-payment-options,local-help/en/articles/11932592-renter-insurance-billing-and-payment-options.html
2,"Renters insurance: general information",https://support.tenantcloud.com/en/articles/11932344-renters-insurance-general-information,local-help/en/articles/11932344-renters-insurance-general-information.html
2,"What are utility providers?",https://support.tenantcloud.com/en/articles/12781285-what-are-utility-providers,local-help/en/articles/12781285-what-are-utility-providers.html
2,"What documents can I receive electronically?",https://support.tenantcloud.com/en/articles/11932587-what-documents-can-i-receive-electronically,local-help/en/articles/11932587-what-documents-can-i-receive-electronically.html
2,"What does renters insurance cover?",https://support.tenantcloud.com/en/articles/11932380-what-does-renters-insurance-cover,local-help/en/articles/11932380-what-does-renters-insurance-cover.html
2,"What does the status of the maintenance request indicate?",https://support.tenantcloud.com/en/articles/11932651-what-does-the-status-of-the-maintenance-request-indicate,local-help/en/articles/11932651-what-does-the-status-of-the-maintenance-request-indicate.html
2,"What happens to my coverage if I move?",https://support.tenantcloud.com/en/articles/11932581-what-happens-to-my-coverage-if-i-move,local-help/en/articles/11932581-what-happens-to-my-coverage-if-i-move.html
2,"What is rent reporting?",https://support.tenantcloud.com/en/articles/11932713-what-is-rent-reporting,local-help/en/articles/11932713-what-is-rent-reporting.html
2,"What’s an NSF fee?",https://support.tenantcloud.com/en/articles/11931740-what-s-an-nsf-fee,local-help/en/articles/11931740-what-s-an-nsf-fee.html
2,"Where can I see my payment history?",https://support.tenantcloud.com/en/articles/11931742-where-can-i-see-my-payment-history,local-help/en/articles/11931742-where-can-i-see-my-payment-history.html
2,"Why is my Internet setup still pending?",https://support.tenantcloud.com/en/articles/12781507-why-is-my-internet-setup-still-pending,local-help/en/articles/12781507-why-is-my-internet-setup-still-pending.html
